,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
218,4334,[14],"Such circular “reasoning” would be amusing if it were not so emblematic of what one writer called “Kavanaugh Derangement Syndrome.""",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the use of quotation marks around 'reasoning' and then mentioning 'Kavanaugh Derangement Syndrome' as being emblematic of the circular 'reasoning'. This creates a repetitive emphasis on the concept of 'reasoning' and reinforces the author's point.""
}",['strategic_repetition'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of the phrase 'circular reasoning' and then 'Kavanaugh Derangement Syndrome' in the same sentence mirrors the structure of antimetabole by inverting the arguments in a phrase.""
}",['antimetabole'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage features strategic repetition through the use of quotation marks around the word 'reasoning', which emphasizes and repeats the concept being discussed.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'reasoning' and 'Kavanaugh Derangement Syndrome' in close proximity creates an argument from inversion, which is characteristic of antimetabole.""
}",['antimetabole'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'reasoning' and 'Kavanaugh Derangement Syndrome' in close proximity creates an argument from inversion, transposing the arguments in a phrase.""
}",['antimetabole'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'reasoning' and 'Kavanaugh Derangement Syndrome' in close proximity creates an argument from inversion, which is a form of antimetabole.""
}",['antimetabole'],1
219,4349,[14],The Last-Minute Character Assassination of Judge Kavanaugh,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of 'Last-Minute' is strategically repeated in the headline to emphasize the timing and urgency of the character assassination.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of the phrase 'Last-Minute Character Assassination' creates an antithesis by juxtaposing 'last-minute' with 'character assassination' to emphasize the sudden and deliberate nature of the attack. Additionally, the strategic repetition of the word 'assassination' further emphasizes the severity of the attack on Judge Kavanaugh.""
}","['strategic_repetition', 'antithesis']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The title 'The Last-Minute Character Assassination of Judge Kavanaugh' uses strategic repetition with the repeated use of 'Last-Minute' and 'Character Assassination' to emphasize and reinforce the negative portrayal of the situation.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The title 'The Last-Minute Character Assassination of Judge Kavanaugh' uses strategic repetition of the phrase 'Last-Minute Character Assassination' to emphasize the impact and timing of the attack on Judge Kavanaugh's character.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The title 'The Last-Minute Character Assassination of Judge Kavanaugh' uses strategic repetition of the phrase 'Last-Minute Character Assassination' to emphasize the impact on Judge Kavanaugh.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The title 'The Last-Minute Character Assassination of Judge Kavanaugh' uses strategic repetition of the phrase 'Last-Minute Character Assassination' to emphasize the impact and timing of the attack on Judge Kavanaugh's character.""
}",['strategic_repetition'],1
220,4353,[ 7 14],"""For us, Hungary is first.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'first' creates an antithesis by presenting Hungary as the foremost priority, emphasizing its importance over other considerations.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""]
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of 'For us' at the beginning of the sentence can be considered as strategic repetition within the passage.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of 'For us' emphasizes the priority of Hungary, creating a rhetorical effect.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The phrase 'For us, Hungary is first' presents an argument from opposites, emphasizing the priority of Hungary over other considerations.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does feature strategic repetition of the phrase 'For us', emphasizing the priority of Hungary."" 
}",['strategic_repetition'],0
221,4359,[14],"JP: It could but I don’t believe it would be, because power respects power.",Figures_of_argument,[],['antimetabole'],['antimetabole'],False,['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'power respects power' presents an argument from opposites, highlighting the contrasting relationship between power and power.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement 'It could but I don’t believe it would be' involves the repetition of the word 'be' in a strategic manner within a single sentence.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the idea of something being possible with the belief that it would not be. This fits the definition of antithesis.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'power respects power' presents an argument from opposites, contrasting the idea of power with the concept of respecting power.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'power respects power' presents an argument from opposites, emphasizing the contrast between the concept of power and the idea of respecting power.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'power respects power' presents an argument from opposites, emphasizing the contrast between the two concepts.""
}",['antithesis'],1
222,4366,[15],The authorities allowed him to commit the crime.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an argument from opposites as it presents the juxtaposition of 'allowed' and 'commit the crime', creating a contrast and emphasizing the contradictory nature of the situation.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, highlighting the contrast between the action of the authorities allowing and the negative outcome of committing the crime.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis, highlighting the contrast between the action of the authorities allowing and the negative consequence of the crime being committed.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by juxtaposing the idea of 'authorities' with 'committing a crime', creating a contrast between what is typically expected of authorities and the action they allowed."" 
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by juxtaposing the idea of 'authorities' with 'allowed him to commit the crime', creating a contrast between what is expected (authorities preventing crime) and what actually happened (authorities allowing the crime).""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by juxtaposing the idea of 'authorities' with 'allowed him to commit the crime', creating a contrast between what is typically expected of authorities and their actions in this specific situation.""
}",['antithesis'],1
223,4367,[15],They want to preserve the FBI’s reputation.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition"", ""defintion as figure""]
}

          
         

        ","['strategic_repetition', 'defintion_as_figure']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement contains strategic repetition, where 'preserve' and 'reputation' are repeated to emphasize the importance of maintaining the FBI's reputation.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an antithesis by making a contrast between 'preserving' and the implied opposite of 'damaging' the FBI's reputation.""
}",['antithesis'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement 'They want to preserve the FBI’s reputation' is an example of induction, as it draws a general conclusion about the desire to maintain the FBI's reputation based on a specific instance or situation.""
}",['induction'],"{
  ""Properties"": [""defintion as figure""]
}",['defintion_as_figure'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of 'preserve' emphasizes the importance of maintaining the FBI's reputation.""
}",['strategic_repetition'],0
224,4368,[15],They don’t care to see Trump vindicated.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text contains an antithesis, as it presents an argument from opposites: 'care to see' versus 'Trump vindicated'.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""]
  , ""Explanation"": ""The statement sets forth the full meaning and character of 'they' by indicating their lack of interest in seeing Trump vindicated.""
}",['defintion_as_figure'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence uses antimetabole by inverting the order of the words 'care' and 'see' to create a rhetorical effect.""
}",['antimetabole'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting those who don't care with the idea of Trump being vindicated.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the idea of 'caring to see Trump vindicated' with the implied opposite sentiment.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the idea of Trump being vindicated with the notion that others don't care to see it happen.""
}",['antithesis'],1
225,4370,[15],The media is very interested in racism.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of the word 'racism' suggests a focus on this specific issue and emphasizes its significance in the media.""
}",['strategic_repetition'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement is an example of induction, as it is drawing a general conclusion about the media's interests from a specific observation.""
}",['induction'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of strategic repetition is present in the text, with the repeated mention of 'the media' and 'racism' highlighting the focus on this particular topic.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of the word 'racism' emphasizes the importance and focus of the media on this issue.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of the phrase 'The media is very interested in' emphasizes the focus on a specific topic, in this case, racism.""
}",['strategic_repetition'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement 'The media is very interested in racism' is an example of induction, as it draws a general conclusion about the media's interest based on specific instances or observations.""
}",['induction'],0
226,4371,[15],The media is happy to talk about anti-Semitism.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the media's focus on discussing anti-Semitism.""
}",['defintion_as_figure'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit clear usage of any of the provided figures of argument. However, it does feature strategic repetition with the repetition of the phrase 'The media is happy to talk about'."" 
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not contain any of the provided figures of argument. The statement does not use any antithesis, antimetabole, definition as figure, induction, or eduction. There is no strategic repetition in the text, as there is no repetition of clauses or phrases within the passage.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the repetition of the phrase 'anti-Semitism' within the sentence can be seen as a form of strategic repetition, emphasizing the topic and making it more salient to the audience.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'anti-Semitism' is strategically repeated in the sentence to emphasize the focus of the media's discussion."" 
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example uses strategic repetition by repeating the phrase 'The media is happy to talk about' to emphasize the point being made.""
}",['strategic_repetition'],1
227,4372,[15],Here’s my translation:,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis"", ""strategic repetition""],
  ""Explanation"": ""The text uses antithesis by presenting opposing or contrasting ideas, and strategic repetition by repeating the concept of 'difference' to emphasize the comparison between the two language versions.""
}","['antithesis', 'strategic_repetition']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Buy low, sell high' demonstrates the use of antithesis, which is an argument from opposites.""
}",['antithesis'],"{
  ""Properties"": [
    ""defintion as figure""
  ],
  ""Explanation"": ""The text provides a concise and clear definition of the concept of virtue as a responsibility.""
}",['defintion_as_figure'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'give up' and 'keep going' in opposition creates an antithesis, emphasizing the contrast between the two actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text contains an argument from opposites, as it presents contrasting ideas in the form of 'Buy low, sell high'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Buy low, sell high' exemplifies the use of antithesis, as it presents opposing ideas in a balanced and parallel structure.""
}",['antithesis'],1
228,4373,[15],"He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way, as Cardinal Müller told Edward Pentin in a Sept. 28 interview published in the National Catholic Register.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'He mentions...but he fails to' presents an argument from opposites, contrasting the mention of the Holy Father's letter with the failure to take something into account.""
}",['antithesis'],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The passage presents an antithesis by juxtaposing the mention of the Holy Father's letter and the interpretation of the Argentine bishops. It also employs induction by drawing a general conclusion about the Argentine bishops' statement based on the specific example of Cardinal Müller's interview.""
}","['antithesis', 'induction']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the mention of the Holy Father's letter with the potential interpretation by Cardinal Müller.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'but' sets up an argument from opposites, contrasting the mention of the Holy Father's letter with the interpretation provided by Cardinal Müller.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'but' sets up an argument from opposites, contrasting the mention of the Holy Father's letter with the interpretation provided by Cardinal Müller.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'but' sets up an argument from opposites, contrasting the mention of the Holy Father's letter with the interpretation provided by Cardinal Müller.""
}",['antithesis'],1
229,4375,[ 9 15],"Under an obscure set of US regulations known as the International Trade in Arms Regulations (ITAR), Wilson was accused of exporting weapons without a license, just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence features an antithesis by presenting an unexpected comparison between exporting physical weapons and putting a digital version on the internet.""
}",['antithesis'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence 'just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet' presents an argument from inversion, transposing the act of shipping a physical gun to Mexico with the act of putting a digital version of a gun on the internet.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an antithesis by presenting the contrast between physically shipping a plastic gun and putting a digital version of it on the internet.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence 'just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet' presents an antithesis by contrasting the physical act of shipping a gun to Mexico with the digital act of putting a digital version of it on the internet.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by comparing two contrasting scenarios: exporting weapons without a license and shipping a plastic gun to Mexico versus putting a digital version of it on the internet.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence 'just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet' presents an antithesis by contrasting physical export with digital distribution.""
}",['antithesis'],1
230,4378,[16],"The Sun is getting cooler and dimmer, but scientists aren’t worried",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement 'The Sun is getting cooler and dimmer, but scientists aren’t worried' sets forth the full meaning and character of the situation lucidly and succinctly.""
}",['defintion_as_figure'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a general conclusion about the lack of worry among scientists based on specific evidence about the Sun getting cooler and dimmer.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion from specific evidence (the Sun getting cooler and dimmer) to make a generalization about scientists not being worried. This aligns with the property of induction.""
}",['induction'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion from specific evidence (the Sun getting cooler and dimmer) to make a generalization (scientists aren't worried).""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion from specific evidence (the Sun getting cooler and dimmer) to make a generalization (scientists aren't worried).""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the general trend of the Sun's cooling and dimming based on specific observations and scientific understanding.""
}",['induction'],1
231,4379,[16],"It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”.",Figures_of_argument,[],[],[],True,[],timeout,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The phrase 'just around the corner' is repeated and inverted, creating an antimetabole.""
}",['antimetabole'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'fairies and magical kingdoms' and 'real life' presents an antithesis, emphasizing the contrast between the magical and the real.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'fairies and magical kingdoms' juxtaposed with 'real life' creates an antithesis, presenting opposites for rhetorical effect.""
}",['antithesis'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'just around the corner' and 'fairies and magical kingdoms in real life' creates an argument from inversion, transposing the ideas to emphasize the fantastical nature of the concept.""
}",['antimetabole'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an antithesis by juxtaposing the idea of fairies and magical kingdoms with the concept of real life, creating a contrast between the fantastical and the real.""
}",['antithesis'],0
232,4384,[16],The world is so much bigger than Farrakhan and the Jewish question and his position on that and so forth.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The phrase 'Farrakhan and the Jewish question' sets up a contrast using opposites, which is a characteristic of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting 'the world' with 'Farrakhan and the Jewish question', highlighting the idea of expansiveness versus a specific narrow focus.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan' and 'the Jewish question' creates an argument from opposites, juxtaposing two contrasting elements to make a point.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, contrasting two opposing viewpoints or entities.""
}",['antithesis'],timeout,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, highlighting the contrast between the two entities.""
}",['antithesis'],1
233,4386,[16],The burst of sweetness and light coming from Pyongyang just sounds too good to be true.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text uses the figure of antithesis by contrasting 'sweetness and light' with 'too good to be true', creating an argument from opposites.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'sweetness and light' creates an antithesis, contrasting positive attributes with skepticism implied by 'too good to be true.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'sweetness and light' in contrast to 'too good to be true' creates an antithesis by presenting opposing ideas for emphasis.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the 'burst of sweetness and light' with the skepticism expressed by 'just sounds too good to be true.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the 'burst of sweetness and light' with the skepticism expressed in 'just sounds too good to be true.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'sweetness and light' in contrast with 'too good to be true' creates an antithesis, presenting opposing ideas for emphasis.""
}",['antithesis'],1
234,4392,[16],"“No evidence…” Lie big, lie often, and when caught, keep lying.",Figures_of_argument,['strategic_repetition'],[],[],False,['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text exhibits strategic repetition with the repeated use of the word 'lie' and presents an antithesis through the juxtaposition of 'lie big' and 'keep lying'.""
}","['strategic_repetition', 'antithesis']","{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text features strategic repetition of the word 'lie' to emphasize the concept of repeated lying and the impact of lying.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of the phrase 'lie big, lie often, and when caught, keep lying' represents strategic repetition of clauses. Additionally, the phrase 'Lie big...when caught, keep lying' presents an antithesis, highlighting the contrast between the actions of lying confidently and persistently despite being caught.""
}","['strategic_repetition', 'antithesis']",False,"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text uses strategic repetition with the phrase 'lie big, lie often, and when caught, keep lying' to emphasize the idea of continuous lying. It also employs antithesis by presenting the opposite actions of telling the truth.""
}","['strategic_repetition', 'antithesis']","{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text uses strategic repetition with the phrase 'lie big, lie often, and when caught, keep lying' to emphasize the idea of continuous and bold lying. It also employs antithesis by presenting the opposite actions of telling the truth and lying.""
}","['strategic_repetition', 'antithesis']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition by repeating the word 'lie' to emphasize the idea of continuous and deliberate deception.""
}",['strategic_repetition'],0
235,4395,[16],"The problem is in making a lobby of this tendency: a lobby of misers, a lobby of politicians, a lobby of masons, so many lobbies.",Figures_of_argument,"['strategic_repetition', 'induction']",['strategic_repetition'],['strategic_repetition'],False,['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage features strategic repetition of the phrase 'a lobby of' to emphasize the prevalence of different types of lobbies, creating a sense of accumulation and reinforcement of the idea.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition with the phrase 'a lobby of' being repeated to emphasize the different types of lobbies.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text uses strategic repetition by repeating the phrase 'a lobby of' to highlight different negative tendencies, and it also employs antithesis by presenting opposing or contrasting groups within the concept of a lobby.""
}","['strategic_repetition', 'antithesis']",False,"{
  ""Properties"": [""strategic repetition""]
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'a lobby of' is strategically repeated to emphasize the different types of lobbies and create a sense of accumulation or enumeration.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition of the phrase 'a lobby of' to emphasize the different types of lobbies and create a sense of accumulation or enumeration.""
}",['strategic_repetition'],1
236,4400,[ 6 16],The world is so much bigger than Farrakhan and the Jewish question and his position on that and so forth.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, highlighting the contrast between Farrakhan and a specific topic."" 
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, emphasizing the contrast between two opposing views or positions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, contrasting different perspectives or positions.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, contrasting two opposing ideas or figures.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, highlighting the contrast between the two entities.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Farrakhan and the Jewish question' presents an argument from opposites, contrasting two opposing ideas or entities.""
}",['antithesis'],1
237,4401,[ 8 16  8],"Given the fallen human condition, such injustices are bound to occur in any judicial system, and everyone agrees that they should be ruthlessly remedied.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The statement presents an argument from opposites (fallen human condition vs. injustices bound to occur) and makes a generalization based on specific instances (everyone agrees that such injustices should be ruthlessly remedied).""
}","['antithesis', 'induction']","{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The use of 'fallen human condition' and 'everyone agrees' in the same sentence creates an antithesis, and the argument moves from the specific example of 'such injustices' to the general conclusion that 'they should be ruthlessly remedied', indicating induction.""
}","['antithesis', 'induction']","{
  ""Properties"": [
    ""defintion as figure""
  ],
  ""Explanation"": ""The statement sets forth the full meaning and character of the fallen human condition and injustices, providing a succinct and lucid explanation of their nature.""
}",['defintion_as_figure'],False,"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The statement presents an argument from opposites (fallen human condition vs. injustices should be remedied) and also makes a conclusion from specific instances to a generalization about any judicial system.""
}","['antithesis', 'induction']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by juxtaposing the fallen human condition with the need for ruthless remedy of injustices.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'fallen human condition' and 'ruthlessly remedied' presents an argument from opposites, creating a contrast between the negative state of humanity and the need for decisive action.""
}",['antithesis'],0
238,4405,[16],So interesting!,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Figures of argument are present in the text.""
}",[],"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Figures of argument are used in the example text. The text does not exhibit strategic repetition, antithesis, antimetabole, definition as figure, induction, or eduction."" 
}",[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text does not exhibit antithesis, antimetabole, definition as figure, induction, or eduction. However, it does feature strategic repetition through the use of the phrase 'Our policy' in multiple clauses.""
}",['strategic_repetition'],False,"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not exhibit any of the listed properties of Figures of argument.""
}",[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not exhibit any of the listed properties of Figures of argument."" 
}",[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not exhibit any of the listed properties of Figures of argument."" 
}",[],0
